feature num 267 field num 33
WARNING:tensorflow:Variable += will be deprecated. Use variable.assign_add if you want assignment to the variable value or 'x = x + y' if you want a new python Tensor object.
2018-04-22 03:18:54.083857: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
loop:1 losses:1413.41479492
loop:2 losses:68.1089324951
loop:3 losses:352.49899292
loop:4 losses:636.502258301
loop:5 losses:637.709228516
loop:6 losses:576.787780762
loop:7 losses:731.173706055
loop:8 losses:1112.78710938
loop:9 losses:942.491333008
loop:10 losses:801.478637695
loop:11 losses:797.695007324
loop:12 losses:657.613342285
loop:13 losses:982.547485352
loop:14 losses:571.940124512
loop:15 losses:597.297363281
loop:16 losses:516.155761719
loop:17 losses:411.099304199
loop:18 losses:404.281036377
loop:19 losses:172.102279663
loop:20 losses:53.4120025635
loop:21 losses:301.272033691
loop:22 losses:189.922286987
loop:23 losses:58.390045166
loop:24 losses:96.0887069702
loop:25 losses:54.8420181274
loop:26 losses:403.793701172
loop:27 losses:61.7443504333
loop:28 losses:77.0298690796
loop:29 losses:98.0337295532
loop:30 losses:167.56211853
loop:31 losses:351.573974609
loop:32 losses:227.233215332
loop:33 losses:335.926177979
loop:34 losses:414.005554199
loop:35 losses:496.122497559
loop:36 losses:126.494728088
loop:37 losses:372.685180664
loop:38 losses:198.404998779
loop:39 losses:265.041259766
loop:40 losses:128.701843262
loop:41 losses:137.020904541
loop:42 losses:713.428894043
loop:43 losses:113.882843018
loop:44 losses:141.31413269
loop:45 losses:116.541191101
loop:46 losses:263.580688477
loop:47 losses:173.179168701
loop:48 losses:189.685562134
loop:49 losses:50.0394859314
loop:51 losses:64.3031768799
loop:52 losses:173.250976562
loop:53 losses:225.168487549
loop:54 losses:54.7195053101
loop:55 losses:99.653213501
loop:56 losses:80.6661071777
loop:57 losses:433.934387207
loop:58 losses:235.861907959
loop:59 losses:230.558685303
loop:60 losses:288.216918945
loop:61 losses:357.710571289
loop:62 losses:808.052490234
loop:63 losses:697.868774414
loop:64 losses:909.104003906
loop:65 losses:488.186950684
loop:66 losses:814.795166016
loop:67 losses:514.085266113
loop:68 losses:525.422119141
loop:69 losses:798.599609375
loop:70 losses:862.855957031
loop:71 losses:486.480041504
loop:72 losses:345.601165771
loop:73 losses:604.190551758
loop:74 losses:209.238113403
loop:75 losses:138.909423828
loop:76 losses:102.195297241
loop:77 losses:43.3636322021
loop:78 losses:289.563049316
loop:79 losses:1386.49755859
loop:80 losses:58.4177742004
loop:81 losses:81.9656524658
loop:82 losses:246.074615479
loop:83 losses:45.7113494873
loop:84 losses:217.678985596
loop:85 losses:314.569702148
loop:86 losses:718.706054688
loop:87 losses:300.131164551
loop:88 losses:339.838043213
loop:89 losses:621.536132812
loop:90 losses:257.891540527
loop:91 losses:460.083465576
loop:92 losses:436.474304199
loop:93 losses:517.982543945
loop:94 losses:262.63470459
loop:95 losses:189.461151123
loop:96 losses:176.152587891
loop:97 losses:148.87272644
loop:98 losses:73.6965484619
loop:99 losses:1223.24169922
loop:101 losses:110.874954224
loop:102 losses:96.4487075806
loop:103 losses:125.338615417
loop:104 losses:428.323425293
loop:105 losses:389.861053467
loop:106 losses:395.875976562
loop:107 losses:354.084899902
loop:108 losses:648.750305176
loop:109 losses:422.843475342
loop:110 losses:414.378112793
loop:111 losses:424.084075928
loop:112 losses:576.724121094
loop:113 losses:480.834350586
loop:114 losses:630.219238281
loop:115 losses:387.1484375
loop:116 losses:481.797546387
loop:117 losses:302.975067139
loop:118 losses:228.265670776
loop:119 losses:288.041503906
loop:120 losses:76.4616546631
loop:121 losses:97.5610809326
loop:122 losses:44.8623962402
loop:123 losses:113.428443909
loop:124 losses:874.276184082
loop:125 losses:38.7277450562
loop:126 losses:43.9476852417
loop:127 losses:44.6651992798
loop:128 losses:863.548706055
loop:129 losses:40.0672531128
loop:130 losses:249.057907104
loop:131 losses:361.893188477
loop:132 losses:330.296813965
loop:133 losses:478.912078857
loop:134 losses:321.405303955
loop:135 losses:316.560821533
loop:136 losses:368.547424316
loop:137 losses:279.030670166
loop:138 losses:332.3359375
loop:139 losses:212.226867676
loop:140 losses:190.053253174
loop:141 losses:115.400222778
loop:142 losses:106.765281677
loop:143 losses:128.757141113
loop:144 losses:66.9856185913
loop:145 losses:191.127532959
loop:146 losses:868.391967773
loop:147 losses:49.5682983398
loop:148 losses:88.8505401611
loop:149 losses:28.2729816437
loop:151 losses:292.14755249
loop:152 losses:388.905761719
loop:153 losses:222.51385498
loop:154 losses:286.06842041
loop:155 losses:81.2290039062
loop:156 losses:199.448654175
loop:157 losses:80.9018096924
loop:158 losses:80.5666503906
loop:159 losses:121.834487915
loop:160 losses:257.226104736
loop:161 losses:43.8393325806
loop:162 losses:63.8935546875
loop:163 losses:49.0543060303
loop:164 losses:55.7569580078
loop:165 losses:161.726196289
loop:166 losses:105.7604599
loop:167 losses:136.135375977
loop:168 losses:95.1315155029
loop:169 losses:133.238296509
loop:170 losses:154.288955688
loop:171 losses:162.380966187
loop:172 losses:107.262954712
loop:173 losses:86.4790802002
loop:174 losses:143.08694458
loop:175 losses:135.31137085
loop:176 losses:124.128189087
loop:177 losses:58.9852752686
loop:178 losses:37.1960601807
loop:179 losses:528.35168457
loop:180 losses:108.705169678
loop:181 losses:170.285217285
loop:182 losses:305.523956299
loop:183 losses:249.582565308
loop:184 losses:341.313659668
loop:185 losses:364.485900879
loop:186 losses:277.655822754
loop:187 losses:303.672790527
loop:188 losses:78.5679092407
loop:189 losses:165.97845459
loop:190 losses:189.357513428
loop:191 losses:123.456382751
loop:192 losses:206.860229492
loop:193 losses:64.8964385986
loop:194 losses:102.707550049
loop:195 losses:104.676818848
loop:196 losses:742.001281738
loop:197 losses:250.64743042
loop:198 losses:43.7797622681
loop:199 losses:573.754455566
loop:201 losses:327.211242676
loop:202 losses:302.066772461
loop:203 losses:532.956176758
loop:204 losses:488.349578857
loop:205 losses:655.762329102
loop:206 losses:587.885253906
loop:207 losses:728.390808105
loop:208 losses:219.857910156
loop:209 losses:235.831665039
loop:210 losses:177.912658691
loop:211 losses:345.648834229
loop:212 losses:309.400939941
loop:213 losses:31.4975318909
loop:214 losses:30.8809947968
loop:215 losses:74.6318130493
loop:216 losses:946.937866211
loop:217 losses:343.747619629
loop:218 losses:324.592834473
loop:219 losses:317.087402344
loop:220 losses:234.43182373
loop:221 losses:446.711456299
loop:222 losses:376.119567871
loop:223 losses:639.619628906
loop:224 losses:412.621276855
loop:225 losses:821.401306152
loop:226 losses:515.64855957
loop:227 losses:874.535339355
loop:228 losses:448.039489746
loop:229 losses:729.678344727
loop:230 losses:946.944458008
loop:231 losses:1129.63757324
loop:232 losses:812.600402832
loop:233 losses:726.253417969
loop:234 losses:306.943847656
loop:235 losses:950.817504883
loop:236 losses:593.898132324
loop:237 losses:546.453186035
loop:238 losses:366.411560059
loop:239 losses:330.907592773
loop:240 losses:275.060699463
loop:241 losses:99.5619735718
loop:242 losses:77.0795135498
loop:243 losses:64.9484100342
loop:244 losses:59.2981452942
loop:245 losses:1567.15063477
loop:246 losses:944.50012207
loop:247 losses:71.711517334
loop:248 losses:58.4630241394
loop:249 losses:107.633590698
loop:251 losses:185.492431641
loop:252 losses:228.314758301
loop:253 losses:203.317779541
loop:254 losses:228.314651489
loop:255 losses:105.379394531
loop:256 losses:149.239532471
loop:257 losses:147.650634766
loop:258 losses:105.719390869
loop:259 losses:107.579284668
loop:260 losses:88.7004547119
loop:261 losses:81.2158355713
loop:262 losses:64.5577392578
loop:263 losses:193.292053223
loop:264 losses:76.2167282104
loop:265 losses:115.423049927
loop:266 losses:209.820571899
loop:267 losses:62.4319229126
loop:268 losses:61.3659477234
loop:269 losses:221.047515869
loop:270 losses:160.332305908
loop:271 losses:40.4061775208
loop:272 losses:134.898239136
loop:273 losses:133.188796997
loop:274 losses:125.579315186
loop:275 losses:105.061134338
loop:276 losses:167.732192993
loop:277 losses:174.286697388
loop:278 losses:121.223838806
loop:279 losses:88.4834976196
loop:280 losses:91.1120147705
loop:281 losses:127.431396484
loop:282 losses:225.903823853
loop:283 losses:173.520050049
loop:284 losses:146.358825684
loop:285 losses:156.745513916
loop:286 losses:196.127105713
loop:287 losses:258.535949707
loop:288 losses:68.0091094971
loop:289 losses:194.398971558
loop:290 losses:35.2454910278
loop:291 losses:323.404907227
loop:292 losses:119.166244507
loop:293 losses:96.392036438
loop:294 losses:107.482772827
loop:295 losses:167.425521851
loop:296 losses:149.87109375
loop:297 losses:328.517944336
loop:298 losses:287.952667236
loop:299 losses:189.634094238
loop:301 losses:463.894805908
loop:302 losses:311.955749512
loop:303 losses:133.401611328
loop:304 losses:136.639526367
loop:305 losses:79.9559402466
loop:306 losses:35.7534599304
loop:307 losses:372.859771729
loop:308 losses:78.0795593262
loop:309 losses:103.168251038
loop:310 losses:49.5817375183
loop:311 losses:195.079620361
loop:312 losses:71.6272888184
loop:313 losses:139.500595093
loop:314 losses:128.028015137
loop:315 losses:164.755249023
loop:316 losses:43.9923324585
loop:317 losses:73.6035614014
loop:318 losses:333.435394287
loop:319 losses:181.174713135
loop:320 losses:211.037963867
loop:321 losses:187.025390625
loop:322 losses:155.647247314
loop:323 losses:259.956970215
loop:324 losses:406.608276367
loop:325 losses:461.021850586
loop:326 losses:318.729034424
loop:327 losses:454.56552124
loop:328 losses:341.729217529
loop:329 losses:116.224960327
loop:330 losses:221.581130981
loop:331 losses:249.272613525
loop:332 losses:366.626159668
loop:333 losses:178.45010376
loop:334 losses:73.0816345215
loop:335 losses:165.542861938
loop:336 losses:194.539245605
loop:337 losses:48.3134727478
loop:338 losses:410.370910645
loop:339 losses:640.886779785
loop:340 losses:46.7630996704
loop:341 losses:78.4750366211
loop:342 losses:185.642333984
loop:343 losses:205.137329102
loop:344 losses:259.93939209
loop:345 losses:544.94519043
loop:346 losses:312.033569336
loop:347 losses:308.408203125
loop:348 losses:281.669067383
loop:349 losses:246.429489136
loop:351 losses:335.179504395
loop:352 losses:123.038848877
loop:353 losses:193.862075806
loop:354 losses:134.721496582
loop:355 losses:128.172790527
loop:356 losses:95.2810821533
loop:357 losses:637.875244141
loop:358 losses:48.7387771606
loop:359 losses:176.037841797
loop:360 losses:331.086364746
loop:361 losses:128.840576172
loop:362 losses:49.2040100098
loop:363 losses:517.420166016
loop:364 losses:132.070755005
loop:365 losses:228.254089355
loop:366 losses:124.846572876
loop:367 losses:168.592590332
loop:368 losses:122.235076904
loop:369 losses:245.342041016
loop:370 losses:240.867507935
loop:371 losses:104.893280029
loop:372 losses:249.829299927
loop:373 losses:184.5340271
loop:374 losses:113.7837677
loop:375 losses:266.125793457
loop:376 losses:170.529998779
loop:377 losses:44.6590499878
loop:378 losses:40.1413269043
loop:379 losses:614.430419922
loop:380 losses:149.667785645
loop:381 losses:144.674087524
loop:382 losses:258.308898926
loop:383 losses:95.6379547119
loop:384 losses:211.304840088
loop:385 losses:99.8215332031
loop:386 losses:132.357269287
loop:387 losses:320.480041504
loop:388 losses:209.58203125
loop:389 losses:256.245758057
loop:390 losses:68.9044952393
loop:391 losses:65.9547042847
loop:392 losses:41.2692260742
loop:393 losses:176.632400513
loop:394 losses:89.2465133667
loop:395 losses:114.024932861
loop:396 losses:497.116424561
loop:397 losses:44.5747909546
loop:398 losses:132.051956177
loop:399 losses:40.3333702087
loop:401 losses:54.2926712036
loop:402 losses:50.0196151733
loop:403 losses:119.733291626
loop:404 losses:33.9653244019
loop:405 losses:208.630447388
loop:406 losses:125.641586304
loop:407 losses:267.020507812
loop:408 losses:40.0725669861
loop:409 losses:65.2891235352
loop:410 losses:42.7770347595
loop:411 losses:553.932556152
loop:412 losses:307.576843262
loop:413 losses:202.594818115
loop:414 losses:78.6519317627
loop:415 losses:310.703613281
loop:416 losses:268.018157959
loop:417 losses:221.7890625
loop:418 losses:128.790466309
loop:419 losses:125.616928101
loop:420 losses:170.048736572
loop:421 losses:274.326599121
loop:422 losses:67.7540283203
loop:423 losses:40.8837356567
loop:424 losses:53.3059692383
loop:425 losses:39.8226203918
loop:426 losses:80.1544647217
loop:427 losses:84.3841552734
loop:428 losses:465.602844238
loop:429 losses:52.7316322327
loop:430 losses:36.2922973633
loop:431 losses:59.5957565308
loop:432 losses:62.0321960449
loop:433 losses:117.228767395
loop:434 losses:132.908874512
loop:435 losses:449.234375
loop:436 losses:134.825592041
loop:437 losses:135.982788086
loop:438 losses:56.2493286133
loop:439 losses:141.80140686
loop:440 losses:39.4693222046
loop:441 losses:90.3612670898
loop:442 losses:94.8404388428
loop:443 losses:44.7411804199
loop:444 losses:167.803894043
loop:445 losses:65.5741271973
loop:446 losses:113.00793457
loop:447 losses:50.9792442322
loop:448 losses:86.0795516968
loop:449 losses:68.3346176147
loop:451 losses:138.843185425
loop:452 losses:192.700210571
loop:453 losses:102.323410034
loop:454 losses:93.8765792847
loop:455 losses:403.306640625
loop:456 losses:142.21862793
loop:457 losses:113.492034912
loop:458 losses:103.428215027
loop:459 losses:251.773468018
loop:460 losses:81.1474304199
loop:461 losses:185.563812256
loop:462 losses:89.3820343018
loop:463 losses:55.0531921387
loop:464 losses:59.5776824951
loop:465 losses:126.193687439
loop:466 losses:89.9709701538
loop:467 losses:102.262489319
loop:468 losses:46.2616767883
loop:469 losses:274.549926758
loop:470 losses:105.174057007
loop:471 losses:210.171020508
loop:472 losses:79.0094451904
loop:473 losses:77.2035980225
loop:474 losses:50.5749549866
loop:475 losses:62.172454834
loop:476 losses:31.3767375946
loop:477 losses:201.673919678
loop:478 losses:48.687286377
loop:479 losses:60.7638778687
loop:480 losses:67.4318771362
loop:481 losses:69.032989502
loop:482 losses:245.346923828
loop:483 losses:141.148223877
loop:484 losses:485.430419922
loop:485 losses:54.6180114746
loop:486 losses:95.5587997437
loop:487 losses:36.1917495728
loop:488 losses:37.7905960083
loop:489 losses:307.459106445
loop:490 losses:48.5729141235
loop:491 losses:128.073440552
loop:492 losses:109.978683472
loop:493 losses:161.966827393
loop:494 losses:80.5088043213
loop:495 losses:49.2874603271
loop:496 losses:149.219696045
loop:497 losses:55.4342880249
loop:498 losses:49.1378631592
loop:499 losses:37.4897766113
loop:501 losses:685.587890625
loop:502 losses:151.283111572
loop:503 losses:88.5006103516
loop:504 losses:405.140869141
loop:505 losses:225.972930908
loop:506 losses:295.347015381
loop:507 losses:221.369796753
loop:508 losses:24.4570350647
loop:509 losses:230.566772461
loop:510 losses:211.07572937
loop:511 losses:150.090057373
loop:512 losses:117.439971924
loop:513 losses:283.07244873
loop:514 losses:39.1856193542
loop:515 losses:168.830322266
loop:516 losses:72.5236282349
loop:517 losses:36.4949645996
loop:518 losses:31.645652771
loop:519 losses:260.554840088
loop:520 losses:287.763366699
loop:521 losses:155.582977295
loop:522 losses:106.901596069
loop:523 losses:156.269714355
loop:524 losses:65.8888168335
loop:525 losses:197.554275513
loop:526 losses:90.6753082275
loop:527 losses:358.260284424
loop:528 losses:105.260787964
loop:529 losses:57.9648666382
loop:530 losses:452.383178711
loop:531 losses:91.4343948364
loop:532 losses:186.651580811
loop:533 losses:213.217788696
loop:534 losses:182.401550293
loop:535 losses:403.276580811
loop:536 losses:342.049682617
loop:537 losses:291.177520752
loop:538 losses:266.518066406
loop:539 losses:537.508911133
loop:540 losses:541.632019043
loop:541 losses:319.669189453
loop:542 losses:332.440795898
loop:543 losses:211.042877197
loop:544 losses:87.071647644
loop:545 losses:210.749343872
loop:546 losses:213.623962402
loop:547 losses:54.8175048828
loop:548 losses:138.877868652
loop:549 losses:52.3737869263
loop:551 losses:151.341369629
loop:552 losses:60.9647026062
loop:553 losses:139.514526367
loop:554 losses:40.6227264404
loop:555 losses:45.8529281616
loop:556 losses:110.221710205
loop:557 losses:118.924476624
loop:558 losses:147.412414551
loop:559 losses:470.311340332
loop:560 losses:84.9557495117
loop:561 losses:52.7476234436
loop:562 losses:48.6986274719
loop:563 losses:126.937240601
loop:564 losses:85.0741424561
loop:565 losses:223.771850586
loop:566 losses:250.545074463
loop:567 losses:165.492584229
loop:568 losses:208.886474609
loop:569 losses:281.487213135
loop:570 losses:158.875183105
loop:571 losses:70.872718811
loop:572 losses:167.706481934
loop:573 losses:68.5380096436
loop:574 losses:68.3146514893
loop:575 losses:35.8151435852
loop:576 losses:489.59777832
loop:577 losses:138.371932983
loop:578 losses:196.260269165
loop:579 losses:205.395050049
loop:580 losses:268.92376709
loop:581 losses:317.350524902
loop:582 losses:239.450683594
loop:583 losses:394.299468994
loop:584 losses:214.344299316
loop:585 losses:347.035339355
loop:586 losses:218.362213135
loop:587 losses:448.053588867
loop:588 losses:213.403152466
loop:589 losses:95.0278320312
loop:590 losses:79.1206054688
loop:591 losses:175.827697754
loop:592 losses:50.7328033447
loop:593 losses:76.1807556152
loop:594 losses:193.575592041
